"","name","price","type","effect","volume","SPF","PA","skin_type","character","brand","sell"
"62","헤라 선 메이트 프로텍터","22,140","크림형","수분공급, 피부보호, 피부투명, 화이트닝","50ml(g)","50","PA+++",NA,"자외선차단, 주름개선, 메이크업베이스 겸용","헤라","271"
"63","입큰 라이트 데일리 선 젤","6,120","크림형","피부보호, 피부진정, 백탁현상방지","100ml(g)","SPF50+","PA+++","모든피부용","자외선차단"," 입큰","29"
"64","과일나라 헤리에타 에코 베이비 선크림","4,550","크림형",NA,"80ml(g)","SPF32","PA++",NA,"자외선차단","과일나라","180"
"65","몽니스 루안코리아 프레스티지 썬 비비 크림","29,800","크림형",NA,"50ml(g)","SPF50+","PA+++",NA,"자외선차단"," 몽니스","2"
"66","토니모리 마이써니 퍼펙팅 선블럭","8,450","크림형","피부보호","100ml(g)","50","PA+++","모든피부용","워터프루프, 자외선차단, 발림성","토니모리","178"
"67","빌리프 베이비 보 마일드 선스크린","21,900","크림형",NA,"50ml(g)","SPF30","PA++",NA,"자외선차단","빌리프","1"
"68","에뛰드하우스 순정 진정 방어 선크림","4,460","크림형","피부진정","25ml(g)","SPF49","PA++",NA,"자외선차단"," 에뛰드하우스","19"
"69","프리메라 퓨어 브라이트닝 UV 프로텍터","26,970","크림형","피부보호","40ml(g)","SPF50+","PA++++",NA,"자외선차단","프리메라","21"
"70","프리메라 스킨 릴리프 UV 프로텍터","15,860","크림형","수분공급, 피부보호","50ml(g)","50","PA+++",NA,"자외선차단","프리메라","230"
"71","구달 마일드 프로텍트 순한 선크림","11,840","크림형",NA,"50ml(g)","SPF50+","PA+++",NA,"자외선차단"," 구달","5"
"72","마녀공장 울트라 선블럭","23,100","크림형","피부보호","50ml(g)","SPF50","PA+++",NA,"자외선차단"," 마녀공장","2"
"73","메이크프렘 유브이 블루레이 대용량 선 플루이드","22,400","크림형","피부보호, 백탁현상방지","200ml(g)","SPF50+","PA++++",NA,"자외선차단","메이크프렘","1"
"74","닥터자르트 더마 디펜스 선 플루이드","13,530","젤형","수분공급, 피부보호, 피부진정","100ml(g)","50","PA+++",NA,"자외선차단, 쿨링감, 보습","닥터자르트","95"
"75","이지듀 데일리 프레쉬 마일드 선크림","29,600","크림형","피부보호","60ml(g)","SPF50+","PA+++",NA,"자외선차단, 보습","이지듀","8"
"76","뉴스킨 선라이트 포 페이스 앤 바디","19,300",NA,"피부보호","100ml(g)","35","PA+++","모든피부용","자외선차단, 쿨링감","뉴스킨","13"
"77","헬리오케어 울트라 90 크림 젤","27,500","튜브형",NA,"50ml(g)","90","PA+++","모든피부용","자외선차단","헬리오케어","18"
"78","샤넬 UV 에쌍씨엘","74,000","크림형",NA,"30ml(g)","SPF50+","PA+++","모든피부용","자외선차단","샤넬","6"
"79","이자녹스 365 선크림","7,460","크림형","피부보호","70ml(g)","45","PA+++","모든피부용","워터프루프, 자외선차단, 지속력, 메이크업베이스 겸용","이자녹스","308"
"80","제이스레시피 UV 프로텍션 올 투게더 선크림","10,300","크림형","피부보호","50ml(g)","SPF25","PA++",NA,"자외선차단","제이스레시피","2"
"81","시세이도 아넷사 퍼펙트 UV 선 스크린 아쿠아 부스터","22,930",NA,"수분공급","60ml(g)","50","PA++++",NA,"자외선차단","시세이도","58"
"82","닥터지 브라이트닝 업 선","19,200","크림형","수분공급, 피부보호, 피부진정, 피부톤보정, 피부투명, 피지조절","50ml(g)","42","PA+++","모든피부용","자외선차단, 저자극, 지속력","닥터지","15"
"83","라끄베르 UV 스킨 포스 선크림","2,620","크림형","피부보호, 피지조절","70ml(g)","50","PA+++",NA,"자외선차단","라끄베르","207"
"84","베리떼 아쿠아 선크림 플러스","11,250","크림형","수분공급, 피부진정, 백탁현상방지","50ml(g)","SPF50+","PA++++",NA,"자외선차단"," 베리떼","14"
"85","한율 흰감국 미백 선크림","15,380","크림형","윤기부여, 피부보호, 피부투명, 화이트닝","70ml(g)","50","PA+++",NA,"자외선차단, 흡수력, 발림성","한율","233"
"86","이니스프리 블루베리 리밸런싱 워터리 선크림","6,120","튜브형","수분공급, 피부보호, 유수분밸런스조절, 백탁현상방지","40ml(g)","37","PA+++","모든피부용","자외선차단, 쿨링감, 보습","이니스프리","66"
"87","비레머디스 UV 릴리프 모이스처라이저","26,000","크림형",NA,"50ml(g)","SPF50+","PA++++",NA,"자외선차단, 주름개선"," 비레머디스","1"
"88","키엘 울트라 라이트 데일리 UV 디펜스","39,470","크림형","수분공급, 피부보호, 피부진정, 피부유연","60ml(g)","50","PA+++","건성, 중건성, 지성","자외선차단, 지속력, 주름개선","키엘","72"
"89","땡큐파머 선 프로젝트 워터 선크림","14,390","크림형","수분공급, 피부보호, 피부진정, 백탁현상방지","50ml(g)","SPF50+","PA+++","모든피부용","자외선차단","땡큐파머","99"
"90","셀퓨전씨 메디스파 썬스크린","19,800",NA,"피부보호","70ml(g)","47","PA++","모든피부용","자외선차단, 저자극","셀퓨전씨","46"
"91","더페이스샵 닥터벨머 데일리리페어 블루 선 스크린","8,160","크림형","피부보호, 피부진정","50ml(g)","SPF50+","PA++","모든피부용, 민감성","자외선차단, 저자극, 보습"," 더페이스샵","66"
"92","더페이스샵 내추럴 선 에코 포토제닉 선 블러 심슨 에디션","6,170","크림형",NA,"45ml(g)","SPF50+","PA+++","모든피부용","자외선차단"," 더페이스샵","10"
"93","A.H.C 유브이 캡처 플러스 세범 컨트롤 선크림","15,900","크림형","피부보호","50ml(g)","SPF50+","PA++++","모든피부용","자외선차단"," A.H.C","8"
"94","에스트라 리제덤 RX 듀얼 썬크림","37,990","크림형","피부보호","50ml(g)","SPF50+","PA+++",NA,"자외선차단"," 에스트라","2"
"95","뉴스킨 선라이트 포 페이스 앤 바디","23,300",NA,NA,"100ml(g)","50","PA+++","모든피부용","자외선차단, 쿨링감","뉴스킨","3"
"96","시세이도 아넷사 퍼펙트 UV 선스크린 A+N","24,980",NA,NA,"60ml(g)","50","PA+++",NA,"워터프루프, 자외선차단, 지속력","시세이도","9"
"97","DPS 선크림 ","28,000","크림형",NA,"75ml(g)","SPF30","PA++",NA,"자외선차단"," DPS","1"
"98","야다 오마이 선 프로텍션 톤업 베이스","15,850","크림형",NA,"50ml(g)","SPF50+","PA++++","모든피부용","자외선차단"," 야다","5"
"99","해피바스 퍼펙트 선크림","4,360","크림형","피부보호","80ml(g)","50","PA+++",NA,"워터프루프, 자외선차단, 지속력, 레포츠용","해피바스","239"
"100","애터미 선크림 베이지","7,330","크림형","윤기부여, 피부보호, 백탁현상방지","60ml(g)","50","PA+++",NA,"자외선차단, 발림성, 글리세린","애터미","31"
"101","백옥생 려희 프리미엄 선크림","2,370","크림형",NA,"60ml(g)","SPF50+","PA+++",NA,"자외선차단, 주름개선","백옥생","22"
"102","코스모몬스터 그린 커버 선스크린","16,990","크림형",NA,"50ml(g)","SPF50+","PA+++",NA,"자외선차단, 주름개선"," 코스모몬스터","4"
"103","마녀공장 퓨어 선블럭","22,310","크림형","영양공급","50ml(g)","SPF50+","PA+++",NA,"자외선차단"," 마녀공장","8"
"104","크리니크 시티 블록 데일리 페이스 프로텍터","33,880","크림형","피부보호","40ml(g)","SPF40","PA+++",NA,"자외선차단","크리니크","8"
"105","쏘티스 선 센스티브 플루이드","21,000","튜브형","수분공급","50ml(g)","50",NA,"모든피부용",NA,"쏘티스","49"
"106","어퓨 마데카소사이드 선크림","5,020","크림형",NA,"40ml(g)","39","PA++","모든피부용","자외선차단, 저자극, 주름개선"," 어퓨","56"
"107","닥터자르트 에브리 선 데이 톤 업 선 스크린 ","14,200","크림형","생기부여, 피부보호, 피부톤보정, 화이트닝","50ml(g)","50","PA+++",NA,"자외선차단, 주름개선","닥터자르트","62"
"108","프레쉬 피어니 화이트닝 유브이 쉴드","54,070","크림형","피부보호","30ml(g)","SPF50","PA++",NA,"자외선차단","프레쉬","26"
"109","닥터랩 메디 선 프로텍트","14,500","튜브형","수분공급, 화이트닝","50ml(g)","50","PA+++",NA,"자외선차단","닥터랩","58"
"110","엘로엘 팡팡 선 쿠션 ","19,990","쿠션형","수분공급, 영양공급, 피부보호, 피부진정, 피부유연, 피부톤보정, 피지조절","25ml(g)","50","PA+++",NA,"자외선차단, 쿨링감","엘로엘","25"
"111","네슈라 오뜨리 블럭 앤 블럭 오리지널 선크림","4,380","튜브형","피부보호","80ml(g)","42","PA++",NA,"워터프루프, 자외선차단, 지속력","네슈라","140"
"112","엔프라니 실키 핏 선 블록","6,580","크림형","피부진정, 피지조절","70ml(g)","SPF50+","PA+++","모든피부용","자외선차단","엔프라니","46"
"113","셀라피 UV 마일드 선 케어","30,800","크림형",NA,"50ml(g)","SPF50+","PA+++",NA,"자외선차단, 저자극, 주름개선","셀라피","21"
"114","케어존 베리베리 키즈 선 블록","12,440","크림형",NA,"100ml(g)","SPF31","PA++",NA,"자외선차단"," 케어존","43"
"115","끌레드뽀보떼 크렘므 프로텍트리스 UV","127,500","크림형","수분공급","50ml(g)","SPF50+","PA++++","모든피부용","자외선차단, 주름개선"," 끌레드뽀보떼","10"
"116","다이소 에브리데이 톤업 선크림","2,680","크림형","피부보호","65ml(g)","SPF50+","PA+++",NA,"자외선차단, 주름개선"," 다이소","8"
"117","비욘드 피토 아쿠아 워터 선 베이스","10,770",NA,"수분공급","50ml(g)","50","PA+++","모든피부용","자외선차단, 밀착력","비욘드","142"
"118","헬리오케어 360 미네랄 플루이드 크림","22,000","크림형",NA,"50ml(g)","SPF50+",NA,NA,"자외선차단"," 헬리오케어","5"
"119","닥터랩 올 데이 디펜스 선 크림","14,250","튜브형","수분공급, 윤기부여, 피부보호, 피부진정, 유수분밸런스조절, 화이트닝","50ml(g)","50","PA+++",NA,"자외선차단","닥터랩","43"
"120","센텔리안24 마데카 선 크림","5,490","크림형","피부보호, 피부진정, 피부투명, 백탁현상방지","50ml(g)","50","PA+++","모든피부용","자외선차단, 저자극, 지속력, 밀착력, 보습","센텔리안24","115"
"121","모델로 엑스퍼드 선블록","39,000","크림형",NA,"50ml(g)","SPF50+","PA+++","모든피부용","자외선차단, 주름개선"," 모델로","1"
"122","라비오뜨 유브이 베일 모이스처 선 에센스","9,000","크림형","수분공급, 피부보호, 백탁현상방지","50ml(g)","SPF50+","PA+++",NA,"자외선차단","라비오뜨","54"
"123","이즈앤트리 마일드 선크림","12,040","크림형","피부보호","60ml(g)","SPF25","PA++",NA,"자외선차단, 저자극, 흡수력"," 이즈앤트리","23"
"124","홀리카홀리카 모이스처 선 젤","9,000","크림형","피부보호, 피부진정, 백탁현상방지","50ml(g)","SPF50+","PA++++","모든피부용","자외선차단","홀리카홀리카","7"
"125","시세이도 아넷사 퍼펙트 페이셜 UV 선스크린","19,570","크림형",NA,"40ml(g)","SPF50+","PA++++",NA,"자외선차단"," 시세이도","5"
"126","아이샤드 UV 퍼팩트 선크림","16,800","크림형","피부보호, 피부진정","50ml(g)","SPF50+","PA+++","모든피부용","자외선차단"," 아이샤드","1"
"127","닥터자르트 에브리 선데이 ","24,650","크림형","피부보호, 백탁현상방지","50ml(g)","50","PA+++","민감성","자외선차단, 저자극, 밀착력","닥터자르트","21"
"128","암웨이 아이디얼 래디언스 UV 프로텍트","51,210",NA,NA,"30ml(g)","SPF50+","PA+++",NA,"자외선차단"," 암웨이","4"
"129","DMCK 썬 아쿠아 크림","8,800","크림형","수분공급, 피부보호","50ml(g)","SPF50+","PA+++","모든피부용","자외선차단"," DMCK","34"
"130","더샘 에코 어스 파워 마일드 키즈 선크림","5,690","크림형","수분공급","60ml(g)","SPF32","PA++",NA,"자외선차단"," 더샘","35"
"131","알바트로스 컬러 선 로션","22,490","크림형",NA,"70ml(g)","SPF45","PA++",NA,"워터프루프, 자외선차단"," 알바트로스","17"
"132","스위스퓨어 선블록 워터 젤","10,200","젤형","수분공급, 피부보호","60ml(g)","SPF50+","PA+++","모든피부용","자외선차단"," 스위스퓨어","3"
"133","화진화장품 예브랑 센스티브 선크림","23,380","크림형",NA,"50ml(g)","SPF43","PA++",NA,"자외선차단"," 화진화장품","4"
"134","이니스프리 퍼펙트 UV 프로텍션 크림 트리플 케어","8,260","크림형","피부보호","50ml(g)","50","PA+++",NA,"자외선차단, 지속력, 발림성","이니스프리","116"
"135","식물나라 산소수 라이트 선 젤","13,100","크림형",NA,"60ml(g)","SPF50+","PA++++",NA,"자외선차단"," 식물나라","7"
"136","에끌라두 오일 프리 선 크림","22,800","크림형","수분공급, 피부보호, 백탁현상방지","40ml(g)","40","PA++","모든피부용","자외선차단, 밀착력, 오일 프리","에끌라두","5"
"137","아이오페 UV 쉴드 선 톤 업 베이스 ","15,620",NA,"피부보호","60ml(g)","50","PA+++",NA,"자외선차단","아이오페","250"
"138","랩노 4SP 세이프 톤 업 선 크림 ","17,860","크림형","수분공급, 피부보호, 피부진정, 피부탄력, 피부톤보정, 피부강화","50ml(g)","50","PA++++","모든피부용","자외선차단, 저자극, 천연성분, 발림성","랩노","18"
"139","아토팜 마일드 선크림","22,610","크림형",NA,"65ml(g)","SPF32","PA+++","모든피부용","자외선차단"," 아토팜","2"
"140","엔프라니 클리어 선 스틱","6,390","스틱형","피부보호, 백탁현상방지","22ml(g)","SPF50+","PA++++",NA,"자외선차단, 주름개선"," 엔프라니","26"
"141","IWLT 프로텍티브 베이스 건성 선 크림","39,000","크림형","수분공급","50ml(g)","SPF50+","PA+++","건성","자외선차단"," IWLT","5"
"142","얼라이브랩 슈슈 선크림 핑크","12,000","크림형",NA,"50ml(g)","SPF50+","PA+++","모든피부용","자외선차단"," 얼라이브랩","3"
"143","디알프로그 어반 더스트 프리 선 블록","10,800","크림형","수분공급, 피부보호, 피부진정, 백탁현상방지","50ml(g)","SPF41","PA++",NA,"자외선차단, 주름개선"," 디알프로그","33"
"144","헤라 선 메이트 에센스 젤","21,230","젤형","수분공급, 피부보호, 피부투명, 화이트닝","50ml(g)","40","PA+++",NA,"자외선차단, 주름개선, 메이크업베이스 겸용","헤라","247"
"145","입생로랑 블랑 쀠르 꾸뛰르 UV 프로텍션","61,900","크림형","피부보호","30ml(g)","SPF50+","PA++++",NA,"자외선차단, 주름개선","입생로랑","17"
"146","라비다 선 솔루션 레포츠 스마트 쉴드","18,990","크림형","피부보호","70ml(g)","SPF50+","PA+++","모든피부용","자외선차단","라비다","24"
"147","이니스프리 슈퍼푸드 무화과 브라이트닝 선 크림","6,660","크림형","피지조절","40ml(g)","SPF50+","PA++++","모든피부용","자외선차단","이니스프리","6"
"148","더페이스샵 내추럴선 에코 피지잡는 수분선","6,970","크림형","수분공급, 피부보호, 피지조절","50ml(g)","40","PA+++",NA,"워터프루프, 자외선차단, 밀착력, 파라벤 프리, 발림성, 무동물성원료, 주름개선","더페이스샵","118"
"149","A.H.C 퓨어 내추럴 메가 선쿠션 ","4,030","쿠션형","수분공급, 영양공급, 피부보호, 피부진정","25ml(g)","50","PA+++",NA,"자외선차단, 저자극, 천연성분, 보습","A.H.C","85"
"150","까레넬 노 세범 퍼펙트 UV 쉴드 선크림","12,370","크림형","피지조절, 백탁현상방지","50ml(g)","SPF50+","PA++++","모든피부용","자외선차단"," 까레넬","5"
"151","에버미라클 EM 썬 SUN 프로텍트 크림","21,350","크림형",NA,"40ml(g)","SPF35","PA++",NA,"자외선차단"," 에버미라클","22"
"152","닥터자르트 Ctrl-A 선 프로텍터","20,580","튜브형","피부보호","40ml(g)","35","PA++","민감성","자외선차단, 저자극","닥터자르트","16"
"153","과일나라 헤리에타 퍼펙트 멀티 선크림","3,200","튜브형","수분공급, 피부보호, 피부진정","90ml(g)","45","PA++","모든피부용","자외선차단, 밀착력","과일나라","267"
"154","닥터랩 올데이 디펜스 선크림","14,500","크림형",NA,"50ml(g)","SPF50+","PA+++","모든피부용","워터프루프, 주름개선"," 닥터랩","12"
"155","아벤느 선 에멀전","20,570","크림형",NA,"50ml(g)","SPF50+","PA+++",NA,"자외선차단","아벤느","37"
"156","이니스프리 퍼펙트 UV 프로텍션 크림 롱 래스팅","8,400","튜브형",NA,"50ml(g)","50","PA+++","모든피부용, 지복합","자외선차단","이니스프리","92"
"157","그린핑거 미네랄 선로션","9,900",NA,NA,NA,NA,NA,NA,NA," 그린핑거","14"
"158","헤라 선 메이트 레포츠 AD ","20,900","크림형","수분공급, 피부보호, 피부진정","70ml(g)","50","PA++++","모든피부용","워터프루프, 자외선차단, 저자극, 레포츠용","헤라","209"
"159","해피바스 퍼펙트 선 로션","5,920",NA,"수분공급, 피부보호","200ml(g)","50","PA+++",NA,"자외선차단, 발림성, 보습","해피바스","168"
"160","아로마티카 내추럴 틴티드 선크림","13,068","튜브형",NA,"50ml(g)","30","PA++","모든피부용","자외선차단","아로마티카","14"
"161","에고 이고선센스 스포츠 밀크 롤온","11,000",NA,NA,"50ml(g)","SPF50+","PA++++",NA,"자외선차단"," 에고","1"
"162","랩코스 프레쉬 데일리 선크림","10,250","크림형",NA,"50ml(g)","SPF35","PA++",NA,"자외선차단"," 랩코스","19"
"163","토니모리 마이써니 레포츠 선 블럭","8,140","크림형","수분공급","50ml(g)","SPF50+","PA+++","모든피부용","자외선차단","토니모리","43"
"164","뉴스킨 데일리 선 라이트 바디 앤 패밀리","21,000","크림형","피부보호, 피부진정","80ml(g)","SPF50+","PA++++",NA,"자외선차단, 보습"," 뉴스킨","1"
