"숫자
용량","숫자
판매가"
200,"28,900"
200,"48,230"
200,"49,440"
30,"40,000"
50,"41,900"
30,"41,650"
50,"11,130"
55,"13,400"
55,"8,100"
100,"11,020"
50,"6,420"
55,"11,210"
55,"10,140"
50,"9,750"
70,"14,260"
60,"16,240"
50,"15,520"
50,"5,990"
50,"10,770"
50,"11,530"
50,"11,890"
60,"9,610"
50,"7,620"
50,"8,680"
50,"21,900"
30,"21,650"
30,"22,260"
50,"29,390"
60,"30,160"
30,"14,680"
150,"37,900"
30,"16,640"
70,"29,700"
50,"23,210"
70,"20,500"
50,"13,800"
70,"27,080"
70,"23,500"
60,"25,040"
100,"56,240"
60,"19,600"
60,"26,200"
60,"25,990"
30,"74,000"
30,"71,640"
50,"19,990"
70,"37,990"
50,"9,210"
50,"8,510"
40,"43,350"
50,"31,750"
70,"10,290"
70,"13,080"
60,"9,220"
30,"38,220"
70,"25,250"
70,"27,000"
50,"22,080"
50,"22,630"
50,"4,070"
100,"17,900"
50,"13,900"
100,"21,330"
50,"14,504"
50,"5,490"
50,"24,500"
50,"33,000"
50,"30,800"
55,"19,990"
50,"18,900"
25,"25,650"
22,"14,680"
50,"13,000"
50,"21,000"
60,"23,000"
50,"22,430"
70,"19,800"
50,"21,400"
60,"12,900"
50,"9,270"
60,"20,780"
100,"22,500"
50,"6,830"
60,"21,990"
60,"14,700"
60,"14,500"
45,"19,152"
40,"13,620"
40,"11,390"
50,"22,400"
50,"18,790"
50,"19,940"
50,"24,280"
15,"14,580"
50,"26,890"
50,"27,440"
70,"25,490"
60,"26,130"
50,"30,100"
50,"33,080"
60,"15,810"
50,"25,490"
50,"27,900"
50,"17,400"
40,"46,190"
50,"65,000"
50,"27,000"
50,"16,830"
50,"26,300"
50,"27,000"
50,"34,500"
50,"18,140"
50,"26,000"
50,"16,330"
60,"10,200"
50,"4,460"
50,"8,920"
50,"4,460"
50,"15,660"
13,"8,320"
45,"7,190"
50,"7,590"
50,"5,300"
50,"11,790"
50,"7,690"
100,"9,130"
50,"7,690"
50,"7,330"
13,"9,340"
200,"13,750"
50,"11,700"
100,"7,860"
50,"3,850"
120,"10,910"
50,"7,830"
14,"10,900"
70,"28,520"
50,"14,900"
60,"12,500"
50,"28,850"
60,"8,800"
60,"19,800"
50,"16,400"
80,"9,900"
30,"41,040"
40,"16,200"
40,"8,900"
80,"9,100"
35,"34,210"
60,"66,760"
60,"27,500"
40,"19,570"
60,"22,930"
60,"24,980"
40,"20,840"
50,"31,500"
60,"24,790"
50,"30,560"
50,"37,310"
50,"106,380"
50,"58,660"
50,"13,560"
45,"10,240"
15,"10,800"
60,"13,100"
15,"17,800"
50,"13,800"
200,"19,800"
80,"23,780"
50,"9,900"
50,"5,640"
50,"12,020"
50,"15,000"
25,"17,700"
50,"8,800"
120,"10,480"
60,"5,500"
50,"9,910"
100,"12,710"
50,"22,800"
13,"8,100"
40,"30,190"
56.7,"32,220"
40,"30,700"
50,"21,000"
50,"99,000"
60,"27,420"
45,"23,550"
50,"30,000"
50,"30,000"
50,"7,680"
50,"21,250"
50,"34,960"
40,"14,900"
50,"13,068"
70,"10,890"
50,"44,590"
50,"22,230"
40,"6,480"
60,"68,740"
50,"7,800"
30,"40,890"
40,"21,280"
50,"20,570"
50,"21,650"
50,"23,400"
50,"16,480"
50,"17,800"
50,"23,490"
60,"23,940"
60,"18,000"
70,"9,700"
70,"12,970"
100,"11,300"
50,"31,470"
50,"16,790"
50,"16,800"
55,"23,810"
40,"45,500"
60,"17,390"
60,"24,060"
15,"16,030"
60,"18,590"
100,"14,720"
60,"15,800"
13,"10,110"
60,"15,620"
60,"14,160"
60,"15,900"
60,"17,280"
50,"6,600"
50,"14,330"
50,"12,000"
50,"21,490"
50,"15,960"
50,"23,980"
50,"14,000"
50,"18,620"
40,"22,440"
40,"14,000"
65,"22,610"
50,"28,000"
60,"14,190"
50,"20,810"
50,"14,210"
50,"59,900"
60,"14,000"
60,"11,550"
70,"22,490"
50,"6,750"
70,"11,900"
30,"51,210"
70,"9,900"
50,"10,740"
60,"7,380"
60,"7,330"
50,"14,500"
50,"15,850"
60,"17,820"
40,"25,000"
30,"37,680"
30,"41,390"
20,"13,500"
40,"15,950"
60,"11,220"
40,"5,020"
65,"8,090"
50,"5,660"
50,"4,890"
15,"5,990"
14,"8,230"
100,"7,110"
50,"4,080"
50,"3,850"
50,"3,950"
50,"6,390"
50,"4,130"
50,"4,400"
50,"12,000"
50,"12,000"
50,"11,000"
50,"27,550"
40,"22,800"
70,"35,625"
60,"23,900"
14,"6,280"
50,"5,600"
50,"8,300"
50,"5,580"
55,"6,870"
50,"7,650"
55,"6,750"
50,"6,100"
50,"7,080"
50,"5,150"
80,"7,020"
25,"4,460"
50,"8,410"
50,"31,590"
75,"30,800"
15,"16,890"
40,"21,350"
100,"19,320"
50,"11,900"
50,"12,600"
50,"18,540"
50,"37,990"
60,"27,440"
30,"46,000"
50,"81,650"
30,"50,770"
30,"42,370"
50,"26,590"
15,"17,400"
50,"30,000"
40,"14,860"
75,"23,680"
50,"9,000"
45,"23,890"
50,"36,990"
70,"4,890"
70,"3,250"
70,"4,600"
120,"10,300"
70,"9,490"
70,"6,580"
70,"6,740"
70,"8,240"
70,"9,700"
22,"6,390"
40,"36,600"
45,"9,010"
25,"19,990"
53,"18,000"
40,"42,750"
50,"11,000"
70,"10,390"
50,"13,160"
200,"15,500"
28,"13,160"
60,"25,000"
60,"30,000"
30,"38,330"
40,"10,400"
80,"19,000"
80,"16,540"
14,"12,430"
70,"11,130"
30,"19,640"
50,"8,010"
60,"16,370"
50,"29,930"
60,"25,850"
50,"28,000"
80,"27,000"
50,"22,170"
50,"27,590"
60,"28,110"
50,"17,800"
50,"26,550"
50,"4,010"
150,"4,570"
50,"2,580"
50,"17,620"
40,"30,060"
40,"33,150"
60,"34,700"
13.5,"7,390"
50,"63,000"
50,"27,000"
50,"30,000"
60,"19,600"
50,"7,910"
35,"14,820"
100,"7,700"
50,"23,790"
50,"16,850"
50,"18,010"
40,"56,680"
40,"55,230"
50,"26,420"
40,"12,430"
40,"12,800"
50,"23,810"
50,"22,900"
50,"27,520"
50,"9,980"
52,"18,600"
55,"19,250"
60,"41,000"
40,"5,070"
50,"6,000"
50,"4,000"
40,"6,000"
40,"6,120"
40,"6,660"
40,"8,360"
40,"6,160"
50,"11,520"
50,"9,000"
50,"9,690"
50,"4,970"
50,"8,930"
50,"8,940"
50,"10,500"
70,"13,500"
40,"8,100"
50,"10,800"
50,"9,500"
50,"9,000"
50,"9,000"
50,"13,640"
50,"8,940"
50,"8,400"
50,"8,200"
100,"18,000"
50,"8,260"
70,"27,890"
50,"31,500"
50,"24,950"
40,"21,950"
70,"12,490"
70,"7,460"
50,"16,280"
125,"32,000"
70,"13,400"
50,"20,360"
40,"11,700"
60,"31,060"
70,"9,670"
70,"14,910"
50,"16,590"
50,"14,800"
70,"14,520"
70,"16,630"
60,"12,040"
60,"13,700"
60,"19,350"
60,"15,640"
60,"16,060"
60,"29,600"
50,"43,000"
50,"43,000"
50,"19,570"
60,"37,420"
50,"38,000"
70,"2,060"
70,"53,000"
70,"22,870"
30,"61,900"
100,"6,120"
70,"6,990"
70,"15,190"
50,"15,990"
70,"9,000"
70,"6,200"
70,"10,050"
50,"7,310"
50,"9,150"
40,"9,730"
50,"8,580"
110,"7,130"
100,"7,320"
50,"8,090"
150,"7,910"
50,"6,820"
50,"4,940"
50,"11,150"
50,"5,660"
60,"13,840"
50,"32,190"
50,"28,870"
50,"29,040"
50,"46,790"
50,"21,920"
60,"20,150"
60,"22,500"
60,"18,460"
40,"18,500"
118,"32,400"
50,"30,750"
50,"32,990"
40,"40,000"
70,"32,000"
50,"32,000"
70,"32,000"
50,"10,300"
70,"20,580"
60,"13,760"
50,"17,000"
70,"10,650"
40,"30,780"
70,"1,720"
70,"1,300"
80,"20,900"
40,"22,560"
80,"11,020"
60,"30,370"
35,"11,950"
50,"18,610"
50,"19,010"
75,"19,010"
50,"18,800"
60,"16,260"
50,"13,570"
9,"14,540"
50,"11,840"
60,"13,759"
60,"12,810"
50,"13,500"
70,"18,600"
50,"3,590"
50,"33,000"
70,"16,830"
12,"13,160"
12,"16,400"
50,"6,900"
50,"2,840"
50,"53,900"
60,"14,860"
35,"43,800"
50,"16,620"
70,"12,070"
80,"9,250"
100,"12,440"
70,"18,240"
60,"18,610"
80,"20,670"
70,"19,250"
60,"22,180"
60,"21,850"
70,"7,290"
70,"7,290"
70,"7,370"
60,"23,100"
50,"20,550"
50,"10,800"
50,"19,090"
60,"12,100"
50,"12,590"
35,"53,560"
100,"16,000"
50,"16,990"
50,"17,000"
50,"10,280"
60,"9,900"
90,"29,500"
148,"41,300"
50,"10,400"
25,"7,090"
50,"24,490"
50,"20,740"
50,"20,370"
30,"64,570"
150,"36,100"
150,"31,040"
40,"24,960"
40,"47,370"
40,"25,900"
40,"33,880"
30,"37,440"
30,"43,710"
30,"35,000"
50,"28,800"
50,"33,240"
30,"54,900"
30,"61,000"
30,"57,820"
60,"28,000"
75,"41,980"
50,"61,980"
30,"42,600"
50,"54,990"
30,"48,220"
30,"53,100"
50,"14,800"
12,"26,000"
50,"14,000"
50,"27,000"
50,"28,280"
50,"16,690"
50,"18,120"
50,"10,140"
50,"10,150"
50,"9,110"
50,"13,160"
150,"32,170"
60,"39,470"
30,"23,200"
50,"30,900"
30,"21,700"
50,"27,350"
50,"21,650"
15,"6,900"
50,"7,250"
100,"8,090"
80,"8,180"
50,"8,140"
100,"8,600"
45,"6,760"
60,"9,190"
100,"8,450"
30,"10,700"
50,"8,940"
50,"9,180"
50,"23,000"
100,"10,660"
60,"12,440"
15,"10,870"
45,"16,890"
50,"15,800"
50,"14,430"
30,"16,240"
15,"14,000"
50,"15,350"
100,"17,270"
100,"18,700"
100,"18,820"
80,"13,310"
60,"8,400"
60,"8,900"
50,"36,090"
50,"16,070"
50,"30,096"
50,"10,000"
40,"31,990"
40,"35,000"
50,"14,390"
70,"14,150"
50,"14,000"
60,"9,350"
50,"44,000"
40,"3,890"
50,"42,080"
50,"5,730"
150,"37,200"
43.5,"24,070"
50,"20,900"
50,"13,830"
60,"7,800"
60,"31,190"
60,"31,200"
60,"27,990"
60,"27,990"
60,"28,000"
75,"25,840"
70,"1,310"
50,"13,990"
40,"9,900"
50,"28,000"
50,"9,800"
40,"38,000"
45,"13,030"
30,"54,070"
50,"26,500"
50,"30,000"
50,"16,060"
50,"30,000"
15,"11,080"
70,"17,280"
50,"15,860"
40,"26,970"
50,"38,810"
22,"14,900"
75,"9,405"
40,"24,230"
60,"40,850"
50,"26,000"
70,"4,210"
80,"14,330"
70,"40,000"
70,"9,800"
50,"12,500"
50,"9,790"
70,"15,380"
50,"42,300"
75,"5,100"
70,"3,860"
70,"4,970"
175,"15,330"
150,"7,600"
75,"5,400"
70,"18,690"
75,"6,940"
200,"5,920"
80,"4,360"
175,"5,470"
50,"5,020"
35,"21,000"
35,"22,000"
70,"18,090"
70,"18,690"
75,"41,620"
18,"15,000"
50,"21,230"
40,"28,410"
50,"22,140"
50,"20,520"
50,"18,000"
50,"22,000"
50,"26,400"
50,"27,500"
60,"19,500"
50,"8,410"
15,"8,490"
60,"6,730"
60,"8,910"
50,"9,000"
100,"10,470"
50,"13,990"
50,"23,380"
80,"5,660"
50,"34,500"
50,"41,000"
50,"25,000"
40,"45,000"
25,"20,640"
40,"21,900"
40,"25,000"
50,"14,490"
50,"13,750"
10,"7,550"
60,"34,200"
30,"6,900"
50,"47,680"
118,"61,300"
30,"14,500"
50,"8,800"
50,"15,400"
50,"18,540"
75,"28,000"
75,"15,070"
50,"39,000"
40,"31,840"
50,"7,900"
50,"8,810"
50,"7,150"
50,"9,610"
50,"6,390"
50,"5,782"
70,"11,140"
100,"5,860"
50,"6,420"
50,"6,800"
70,"10,600"
50,"6,480"
70,"8,930"
40,"8,930"
17,"9,010"
250,"13,320"
70,"14,890"
40,"7,620"
50,"9,180"
50,"25,500"
30,"48,990"
30,"77,460"
30,"64,330"
30,"56,900"
50,"11,400"
50,"13,000"
12,"12,910"
23,"55,000"
55,"11,460"
50,"23,570"
